date,year,month,day,totalPrecipMM,totalRainMM
2011-08-30,2011,8,30,0.0,0.0
2011-08-31,2011,8,31,0.0,0.0
2011-09-01,2011,9,1,8.4,0.0
2011-09-02,2011,9,2,0.0,0.0
2011-09-03,2011,9,3,1.0,0.0
2011-09-04,2011,9,4,10.5,0.0
2011-09-05,2011,9,5,0.0,0.0
2011-09-06,2011,9,6,0.0,0.0
2011-09-07,2011,9,7,1.8,0.0
2011-09-08,2011,9,8,0.7,0.0
2011-09-09,2011,9,9,0.0,0.0
2011-09-10,2011,9,10,0.0,0.0
2011-09-11,2011,9,11,2.5,0.0
2011-09-12,2011,9,12,8.5,0.0
2011-09-13,2011,9,13,0.0,0.0
